Surat Persetujuan Penghapusan dari Direksi,,,,,1. Surat Persetujuan Direksi atas Usulan Penghapusbukuan Aset Tahun 2018 .pdf.pdf,,,,,,,,,,,,,,,,,,
,,,,,,#ERROR!,,,,,,,,,,,,,,,,,
NO.,Nomor Aset,Subreg,Cabang,Profit Center ,Keterangan Aset,Asset Class,Nilai Aset,Umur Ekonomis,Tanggal Perolehan,Nilai Perolehan,Mekanisme Penghapusan,Alasan Penghapusan,Kajian Hukum,Kajian Ekonomis,Kajian Risiko,Nilai Pasar,Aset telah dilakukan penghapusbukuan secara Administrasi atau Jual Lelang (Ya/Tidak),Jika Tidak Dilakukan Penghapusbukuan sebutkan alasannya, Realisasi Metode Penghapusbukuan ,Tahun Pelaksanaan,Nominal Terjual,Nilai PPN + Materai + Dll,Dokumen Laporan Pelaksanaan Penghapusbukuan dari Regional/Sub Regional/Cabang ke KANTOR PUSAT Pelindo 3/Regional Head 3
1,4489,REGION KALIMANTAN,TPKB,12502,Dump Truck,Alat-alat Fasipel,Rp0,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp5.431.953,Tidak,Pemenang Dibatalkan,,31/12/2020,,,https://drive.google.com/file/d/1AJE0fYyLUV4nOREJNhqNANePiJhSGTj/view?usp=sharing
2,7217,REGION KALIMANTAN,TPKB,12502,Toyota Hilux Pick Up (DA 8386 CG),Kendaraan,Rp0,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp60.000.000,Ya,,Jual Lelang,31/12/2019,60.000.000,66.000.000,https://drive.google.com/file/d/1YJCSEWHRVNZSSjHukySJIG1tQwOp1Xj/view?usp=drive_link
3,7219,REGION KALIMANTAN,TPKB,12502,Toyota Kijang Innova G 2.0 (DA 8911 AM),Kendaraan,Rp0,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp85.000.000,Tidak,Tidak laku,,31/12/2019,,,dok lelang banjarmasin.pdf
4,120502004958,REGION KALIMANTAN,TPKB,12502,Lapangan Penumpukan : Replacement Openstorage Ex Gud.B 'Martapura Lama '100 X 20 M2,Bangunan Fasipel,Rp109.818.313,360,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,Rp0,Ya,,Hapus Administrasi,31/12/2020,,,https://drive.google.com/file/d/1AJE0fYyLUV4nOREJNhqNANePiJhSGTj/view?usp=sharing
5,120502005009,REGION KALIMANTAN,TPKB,12502,Dermaga Kayu Ulin (Break Down) (DERMAGA BETON PULANG PISAU),Bangunan Fasipel,Rp2.557.968,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp150.000,Tidak,Menunggu pembangunan dermaga baru,,31/12/2020,,,https://drive.google.com/file/d/1AJE0fYyLUV4nOREJNhqNANePiJhSGTj/view?usp=sharing
6,120502005009,REGION KALIMANTAN,TPKB,12502,Dermaga dan Lantai Dermaga,Bangunan Fasipel,Rp44.701.942,600,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp6.540.000,Tidak,Menunggu pembangunan dermaga baru,,31/12/2020,,,https://drive.google.com/file/d/1AJE0fYyLUV4nOREJNhqNANePiJhSGTj/view?usp=sharing
7,120504000142,REGION KALIMANTAN,TPKB,12502,Spreder Manual Semi Automatic Dari Utpk Tanjung Perak 400 Feet,Alat-alat Fasipel,Rp3.810.169,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp8.147.930,Tidak,Relokasi,,,,,https://drive.google.com/file/d/1AJE0fYyLUV4nOREJNhqNANePiJhSGTj/view?usp=sharing
8,120504000195,REGION KALIMANTAN,TPKB,12502,Fix Spreader (Ke),Alat-alat Fasipel,Rp57.153,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp27.159.765,Tidak,Relokasi,,,,,https://drive.google.com/file/d/1AJE0fYyLUV4nOREJNhqNANePiJhSGTj/view?usp=sharing
9,120504000200,REGION KALIMANTAN,TPKB,12502,Alatalat Faspel Pelabuhan Banjarmasin,Alat-alat Fasipel,Rp0,60,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,Rp0,Ya,,Hapus Administrasi,31/12/2020,,,https://drive.google.com/file/d/1AJE0fYyLUV4nOREJNhqNANePiJhSGTj/view?usp=sharing
