,,,,,Surat ke KBUMN Update Nilai Buku Juni 2020 (1).pdf,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
No,No Aset,Subreg,Cabang,Profit Center,Nama Aset,Asset Class,Nilai Aset,Umur Ekonomis,Tanggal Perolehan,Nilai Perolehan,Mekanisme Penghapusbukuan ,Alasan Penghapusan ,Kajian Hukum,Kajian Ekonomis,Kajian Risiko,Nilai Pasar,,Tahun Pelaksanaan,Nominal Terjual,Nilai PPN + Materai + Dll,Dokumen Laporan Pelaksanaan Penghapusbukuan dari Regional/Sub Regional/Cabang ke KANTOR PUSAT Pelindo 3/Regional Head 3,
,,,,,,,,,,,,,,,,, Realisasi Metode Penghapusbukuan (Jual Lelang/Hapus Administrasi),,,,,
1,120506000169,REGION JAWA,REGION JATIM,12201,Bangunan LainLain./Ruang Makan ,Jalanan dan Bangunan,Rp1,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,Jual Lelang,31/12/2021,44.963.800,,https://drive.google.com/file/d/1TkDQ6rp4h2MrHwX5IjMf1vjspQiML_n/view?usp=drive_link,#N/A
2,120504003322,REGION JAWA,TANJUNG INTAN,12305,Bucket dan Perlengkapannya Il ,Alatalat Fisipel,Rp28.560.388,360,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,Jual Lelang,31/12/2021,17.099.100,,LAPORAN HASIL LELANG TH 2021,Bucket dan Perlengkapannya II
3,120504003323,REGION JAWA,TANJUNG INTAN,12305,Bucket dan Perlengkapannya Il ,Alatalat Fisipel,Rp28.560.388,360,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,Jual Lelang,31/12/2021,17.099.100,,LAPORAN HASIL LELANG TH 2021,Bucket dan Perlengkapannya III
4,120506000667,REGION JAWA,TANJUNG INTAN,12305,Pembangunan Pos jaga ( gudang 101) ,Jalanan dan Bangunan,Rp55.892.478,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,Jual Lelang,31/12/2021,17.099.100,,LAPORAN HASIL LELANG TH 2021,Pembangunan Pos Jaga
5,120504000275,REGION JAWA,TPKS,12304,Container CraneIHI( CC 03 ),Peralatan,Rp205.311.884,95,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,Jual Lelang,31/12/2021,4.556.300.000,5.011.940.000,LAPORAN HASIL LELANG TH 2021,#N/A
6,120504000394,REGION JAWA,TPKS,12304,Refurbishment Drive & PLC CC 03 ,Alatalat Fisipel,Rp2.815.989.616,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,Jual Lelang,31/12/2021,4.556.300.000,5.011.940.000,LAPORAN HASIL LELANG TH 2021,#N/A
7,120504000325,REGION JAWA,TPKS,12304,Chassis/CH135/Merk Sande Baja ,Alatalat Fisipel,Rp36.779.384,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,Jual Lelang,31/12/2021,4.556.300.000,5.011.940.000,LAPORAN HASIL LELANG TH 2021,#N/A
8,120504000328,REGION JAWA,TPKS,12304,Chassis/CH138/Merk Sande Baja,Alatalat Fisipel,Rp36.779.384,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,Jual Lelang,31/12/2021,4.556.300.000,5.011.940.000,LAPORAN HASIL LELANG TH 2021,#N/A
9,120504000377,REGION JAWA,TPKS,12304,Chassis No LJRC 143 E3 G2005404 ,Alatalat Fisipel,Rp306.057.365,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,,,,,,#N/A
