Surat Persetujuan Penghapusan dari Direksi,,,,,101.Persetujuan atas Usulan Penghapusbukuan AT Milik PT Pelindo UE sd 5 th (3) (1).pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No Aset,Subreg,Cabang,Profit Center,Nama Aset,Asset Class,Nilai Aset ,Umur Ekonomis,Tanggal Perolehan,Nilai Perolehan,Mekanisme Penghapusbukuan ,Alasan Penghapusan,Kajian Hukum,Kajian Ekonomis,Kajian Risiko,Nilai Pasar,Realisasi Pelaksanaan Penghapusbukuan,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Aset telah dilakukan penghapusbukuan secara Administrasi atau Jual Lelang (Ya/Tidak),Jika Tidak Dilakukan Penghapusbukuan sebutkan alasannya, Realisasi Metode Penghapusbukuan,Tahun Pelaksanaan,Nominal Terjual,Nilai PPN + Materai + Dll,Dokumen Laporan Pelaksanaan Penghapusbukuan dari Regional/Sub Regional/Cabang ke KANTOR PUSAT Pelindo 3/Regional Head 3,,,,,,,,,
1,120502004749,REGION BALI NUSRA,BADAS,12407,Bronjong Penahan Gelombang,Bangunan Fasipel,Rp1.000.000,300,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,ya,,Hapus administrasi,31/12/2023,,,https://drive.google.com/file/d/1ElFXcSqslz7DIgf8mIGkKy9xM4jUnBu1/view?usp=sharing,,,,,,,,,#N/A
2,120502004774,REGION BALI NUSRA,BADAS,12407,Pembuatan Beaching,Bangunan Fasipel,Rp720.122,300,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,ya,,Hapus administrasi,31/12/2023,,,https://drive.google.com/file/d/1ElFXcSqslz7DIgf8mIGkKy9xM4jUnBu1/view?usp=sharing,,,,,,,,,#N/A
3,120502004705,REGION BALI NUSRA,BENOA,12404,Pembuatan 1 unit Mooring Buoy,Bangunan Fasipel,Rp2.790.000,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp460.000,ya,,Jual Lelang,31/12/2023,3.286.155,3.286.155,https://drive.google.com/file/d/1ElFXcSqslz7DIgf8mIGkKy9xM4jUnBu1/view?usp=sharing,,,,,,,,,#N/A
4,120507000383,REGION BALI NUSRA,BENOA,12404,CCTV I,Peralatan ,Rp46.476.250,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,ya,,Jual Lelang,31/12/2023,22.200,22.200,https://drive.google.com/file/d/1kqAhra_lFMI9vmQ3jBo0xIpZTR7VNqJ4/view?usp=sharing,,,,,,,,,#N/A
5,120507000384,REGION BALI NUSRA,BENOA,12404,CCTV II,Peralatan ,Rp929.525,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,ya,,Jual Lelang,31/12/2023,22.200,22.200,https://drive.google.com/file/d/1kqAhra_lFMI9vmQ3jBo0xIpZTR7VNqJ4/view?usp=sharing,,,,,,,,,#N/A
6,120507000385,REGION BALI NUSRA,BENOA,12404,CCTV III,Peralatan ,Rp929.525,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp20.000,ya,,Jual Lelang,31/12/2023,27.750,27.750,https://drive.google.com/file/d/1ElFXcSqslz7DIgf8mIGkKy9xM4jUnBu1/view?usp=sharing,,,,,,,,,#N/A
7,120507000386,REGION BALI NUSRA,BENOA,12404,CCTV IV,Peralatan ,Rp929.525,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,ya,,Jual Lelang,31/12/2023,22.200,22.200,https://drive.google.com/file/d/1kqAhra_lFMI9vmQ3jBo0xIpZTR7VNqJ4/view?usp=sharing,,,,,,,,,#N/A
8,120509000128,REGION BALI NUSRA,BENOA,12404,Pedestrian,Emplasmen,Rp1.000.000,180,,,Hapus administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,ya,,Hapus administrasi,31/12/2023,,,https://drive.google.com/file/d/1ElFXcSqslz7DIgf8mIGkKy9xM4jUnBu1/view?usp=sharing,,,,,,,,,#N/A
9,120508000069,REGION JAWA,GRESIK ,12209,Toyota Hilux W 9079 A,Kendaraan,Rp29.327.273,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp9.300.000,Ya,,Jual Lelang,31/12/2023,143.680.000,48.850.000,https://drive.google.com/file/d/1J_Um1THhIhkZOLPcWVca_UWA1XjKs_E/view?usp=drive_link,,,,,,,,,#N/A
10,120507000418,REGION BALI NUSRA,KUPANG,12409,Pesawat Ssb ,Kendaraan,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,YA,,Jual Lelang,31/12/2023,111.000,111.000,https://drive.google.com/file/d/1kqAhra_lFMI9vmQ3jBo0xIpZTR7VNqJ4/view?usp=sharing,,,,,,,,,#N/A
11,120508000007,REGION BALI NUSRA,KUPANG,12409,Mobil Rush DH 8417 CA,Kendaraan,Rp40.060.000,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp23.000.000,YA,,Jual Lelang,31/12/2023,42.854.890,42.854.890,https://drive.google.com/file/d/1ElFXcSqslz7DIgf8mIGkKy9xM4jUnBu1/view?usp=sharing,,,,,,,,,#N/A
12,120508000094,REGION BALI NUSRA,KUPANG,12409,Mobil Pick Up DH 9293 LA,Kendaraan,Rp23.504.091,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp7.000.000,YA,,Jual Lelang,31/12/2023,25.094.890,25.094.890,https://drive.google.com/file/d/1ElFXcSqslz7DIgf8mIGkKy9xM4jUnBu1/view?usp=sharing,,,,,,,,,#N/A
13,120502004303,REGION JAWA,REGION JATIM,12201,Ruber Fender Merk Yokohama 03/1/Gd/1984,Bangunan Fasipel,Rp45.722,240,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,,,,31/12/2023,,,,,,,,,,,,#N/A
14,120502004335,REGION JAWA,REGION JATIM,12201,Fender Karet di Jamrud Nilam dan Berlian,Bangunan Fasipel,Rp7.685.723,240,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,,,,31/12/2023,,,,,,,,,,,,#N/A
15,7281,KANTOR PUSAT,KANTOR PUSAT,12101,Nissan Serena HWS,Kendaraan,Rp0,0,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,,,,31/12/2023,,,,,,,,,,,,#N/A
16,120508000153,KANTOR PUSAT,KANTOR PUSAT,12101,Mobil MercedesBenz Jeep L.CHDTPGLS 400 (X166) ,Kendaraan,Rp625.648.970,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,,,,31/12/2023,,,,,,,,,,,,#N/A
17,120508000154,KANTOR PUSAT,KANTOR PUSAT,12101,Mobil MercedesBenz Jeep L.CHDTPGLS 400 (X166) ,Kendaraan,Rp625.648.970,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,,,,31/12/2023,,,,,,,,,,,,#N/A
18,120508000155,KANTOR PUSAT,KANTOR PUSAT,12101,Mobil MercedesBenz Jeep L.CHDTPGLS 400 (X166) ,Kendaraan,Rp625.648.970,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,,,,31/12/2023,,,,,,,,,,,,Mobil MercedesBenz Jeep L.C.HDTP GLS 400  (X166)
19,120507000327,REGION JAWA,TANJUNG EMAS,12302,Mesin Absensi,Peralatan,Rp1,60,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,Ya,,Hapus Administrasi,31/12/2023,,,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m,,,,,,,,,#N/A
20,120507000328,REGION JAWA,TANJUNG EMAS,12302,Penggantian compresor AC central,Instalasi Fasipel,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp1.920.000,Ya,,Jual Lelang,31/12/2023,57.500.000,63.835.000,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m,,,,,,,,,#N/A
21,120507000329,REGION JAWA,TANJUNG EMAS,12302,UPS Brano Vektor (15KVA),Instalasi Fasipel,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp300.000,Ya,,Jual Lelang,31/12/2023,57.500.000,63.835.000,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m,,,,,,,,,#N/A
22,120508000099,REGION JAWA,TANJUNG INTAN,12305,Honda Supra Fit R 6528 SB dan R 6529 SB ,Kendaraan,Rp1.679.046,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp2.600.000,Ya,,Jual Lelang,31/12/2023,4.250.000,4.717.500,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m,,,,,,,,,#N/A
23,120504003254,REGION JAWA,REGION JATIM,12201,Dump Truck,Alat-alat Fasipel,Rp1.962.237,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp35.600.000,Ya,,Jual Lelang,31/12/2023,256.750.000,143.866.000,https://drive.google.com/file/d/1J_Um1THhIhkZOLPcWVca_UWA1XjKs_E/view?usp=drive_link,,,,,,,,,#N/A
24,120504003255,REGION JAWA,REGION JATIM,12201,Truck Arm Roll,Alat-alat Fasipel,Rp782.990,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp24.600.000,Ya,,Jual Lelang,31/12/2023,83.000.000,81.928.000,https://drive.google.com/file/d/1J_Um1THhIhkZOLPcWVca_UWA1XjKs_E/view?usp=drive_link,,,,,,,,,#N/A
